category	task_file
baking	item_0.json
baking	item_1.json
baking	item_2.json
baking	item_3.json
baking	item_4.json
baking	item_5.json
baking	item_6.json
baking	item_7.json
baking	item_8.json
baking	item_9.json
baking	item_10.json
baking	item_11.json
baking	item_12.json
baking	item_13.json
baking	item_14.json
baking	item_15.json
baking	item_16.json
baking	item_17.json
baking	item_18.json
baking	item_19.json
baking	item_20.json
baking	item_21.json
baking	item_22.json
baking	item_23.json
baking	item_24.json
baking	item_25.json
baking	item_26.json
baking	item_27.json
baking	item_28.json
baking	item_29.json
beauty	item_0.json
beauty	item_1.json
beauty	item_2.json
beauty	item_3.json
beauty	item_4.json
beauty	item_5.json
beauty	item_6.json
beauty	item_7.json
beauty	item_8.json
beauty	item_9.json
beauty	item_10.json
beauty	item_11.json
beauty	item_12.json
beauty	item_13.json
beauty	item_14.json
beauty	item_15.json
beauty	item_16.json
beauty	item_17.json
beauty	item_18.json
beauty	item_19.json
beauty	item_20.json
beauty	item_21.json
beauty	item_22.json
beauty	item_23.json
beauty	item_24.json
beauty	item_25.json
beauty	item_26.json
beauty	item_27.json
beauty	item_28.json
beauty	item_29.json
electronics	item_0.json
electronics	item_1.json
electronics	item_2.json
electronics	item_3.json
electronics	item_4.json
electronics	item_5.json
electronics	item_6.json
electronics	item_7.json
electronics	item_8.json
electronics	item_9.json
electronics	item_10.json
electronics	item_11.json
electronics	item_12.json
electronics	item_13.json
electronics	item_14.json
electronics	item_15.json
electronics	item_16.json
electronics	item_17.json
electronics	item_18.json
electronics	item_19.json
electronics	item_20.json
electronics	item_21.json
electronics	item_22.json
electronics	item_23.json
electronics	item_24.json
electronics	item_25.json
electronics	item_26.json
electronics	item_27.json
electronics	item_28.json
electronics	item_29.json
grocery	item_0.json
grocery	item_1.json
grocery	item_2.json
grocery	item_3.json
grocery	item_4.json
grocery	item_5.json
grocery	item_6.json
grocery	item_7.json
grocery	item_8.json
grocery	item_9.json
grocery	item_10.json
grocery	item_11.json
grocery	item_12.json
grocery	item_13.json
grocery	item_14.json
grocery	item_15.json
grocery	item_16.json
grocery	item_17.json
grocery	item_18.json
grocery	item_19.json
grocery	item_20.json
grocery	item_21.json
grocery	item_22.json
grocery	item_23.json
grocery	item_24.json
grocery	item_25.json
grocery	item_26.json
grocery	item_27.json
grocery	item_28.json
grocery	item_29.json
home	item_0.json
home	item_1.json
home	item_2.json
home	item_3.json
home	item_4.json
home	item_5.json
home	item_6.json
home	item_7.json
home	item_8.json
home	item_9.json
home	item_10.json
home	item_11.json
home	item_12.json
home	item_13.json
home	item_14.json
home	item_15.json
home	item_16.json
home	item_17.json
home	item_18.json
home	item_19.json
home	item_20.json
home	item_21.json
home	item_22.json
home	item_23.json
home	item_24.json
home	item_25.json
home	item_26.json
home	item_27.json
home	item_28.json
home	item_29.json
